team,banned ind-task,,task_id,task_text
1,6,,1,"Сделать рекомендацию пользователю, которого нет в системе, но он разбирается в комиксах и хочет получить персонализированную подборку"
2,"1, 2",,2,"Сделать рекомендацию пользователю, который совсем не разбирается в этих ваших комиксах, но очень хочет начать с чего-то."
3,"2, 4, 10",,3,"Как и что порекомендовать новому пользователю, который совсем не разбирается в этих ваших комиксах, но смотрит много сериалов."
4,"1, 5",,4,Добавить в оценку качества рекомендательной системы метрику соответствия издательства в обучающей выборке и в рекомендованных результатах.
5,"1, 2, 4, 5",,5,Добавить в оценку качества рекомендательной системы метрику соответствия года в обучающей выборке и в рекомендованных результатах.
6,0,,6,"Сделать рекомендацию для пользователя, который есть в системе, но хочет что-то похожее на комикс А"
7,"2, 4, 5",,7,"Сделать рекомендацию для пользователя, который есть в системе, но хочет что-то новенькое, не похожее на его вкусы (даже если ему может не понравиться)"
8,1,,8,"Написать для построения модели CF функцию, параметром которой являются данные пользователей, а результатом — модель, например, buildModel(reviews)."
9,"2, 3, 9",,9,"Объединить CF и content-based рекоменадции в одну функцию так, чтобы пользователям, у которых больше 3 оценок, рекомендация выдавалась согласно CF, а остальным — согласно content-based"
10,"2, 4, 6, 9",,10,Добавить в content-based систему издателя. Сравнить предсказания на одних и тех же примерах в новой и старой системе
11,4,,11,"Сделать рекомендацию для пользователя, который есть в системе, но хочет что-то не похожее на комикс А>"
12,,,12,Сделать рекомендацию под настроение
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
