airport_name,link,title,author,author_country,date,content,experience_airport,date_visit,type_traveller,overall_rating,queuing_rating,terminal_cleanliness_rating,terminal_seating_rating,terminal_signs_rating,food_beverages_rating,airport_shopping_rating,wifi_connectivity_rating,airport_staff_rating,recommended
aalborg-airport,/airport-reviews/aalborg-airport,Aalborg Airport customer review,Paul Van Alsten,France,2011-05-22,AMS-AAL and quite satisfied with this regional airport. Only a few flights per day so baggage reclaim understandably very quick. Bus line 2 connects with downtown Aalborg every 15 minutes weekdays but only hourly during the weekend - travel time is 15 mins and costs 18DKK. Check-in efficient and hassle-free using self-service kiosks. Free Internet computers are available landside - a nice touch. Security staff very friendly. Boarding area is rather cramped with limited seating - do not go airside too early.,NA,NA,NA,5,5,5,NA,NA,NA,3,NA,NA,0
aalborg-airport,/airport-reviews/aalborg-airport,Aalborg Airport customer review,Pedro Gil,NA,2005-08-28,Amazed to find that this little place gets reviews! I staged through here in April 05 enroute to LHR via CPH. Very bright clean and well designed airport. Good little cafe with interesting local food. All very efficient when I went through.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,M Cristea,Romania,2015-06-24,"Small airport, our arrival was on Saturday, June 13, 10:30 PM. Unfortunately, there were three planes landed at the same time approx, and ours was the third, So we had to wait in lane in a crowded tiny corridor for frontier controls, but staff was efficient. Than we stayed in lane to get a taxi to reach city center for 45 mins. Departure was on Monday, June 22, at 12:10 PM, much better, smooth drop-off and security controls, no problem. Limited offer for eat/ drink and shopping, not overpriced, The Granite-City Restaurant in the main hall seemed to be OK!",Arrival and Departure,24-06-2015,FamilyLeisure,8,2,4,3,NA,2,3,2,NA,1
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,N Sutherland,United Kingdom,2014-10-05,I believe 2013 was a record year for ABZ in terms of passenger numbers 2014 is up on that - and it shows. Dreadful crowding - airside landside check-in baggage handling security passenger facilities - everything is operating at way beyond its design capacity. Happily I only have to spend an hour there on Departure and 30 mins on Arrival. I feel sorry for the people who have to work there.,NA,NA,NA,3,2,3,NA,NA,NA,2,NA,NA,0
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,S Ritchie,United Kingdom,2014-08-26,"I find trying to book flights virtually anywhere out of Aberdeen nigh on impossible. You used to be able to get to many destinations with one stop in London - technically impossible now thanks to BA dropping Aberdeen to London Gatwick. The only route to Gatwick is EasyJet which has two flights a day as far as I can see which will fleece you for your long haul cases and not give you any guarantee for your onward flight. This level of service to a supposedly international airport is a joke. The international arrivals ""area"" is dirty cramped and there is nowhere to sit. You have to try to stay out of the way of the crowds waiting for their luggage. You can't see people coming you have to loiter around a small corner. It's truly bizarre and the most unwelcoming arrival area I've ever seen in an airport. The luggage belts are in desperate need of an addition. It's all well and good have a nicer departures lounge and fancy coffee but where precisely are we meant to be flying? Having to walk onto the Tarmac in wind and rain or even better snowy conditions to haul your case up a flight of stairs does not exactly make for a modern airport facility. The check in desks are under-served and the security slow at busy times. The only good thing is that security and customs are actually nice here unlike everywhere else!",NA,NA,NA,1,1,3,NA,NA,NA,2,NA,NA,0
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,T Collier,United Kingdom,2012-02-15,I really do wonder why Aberdeen have so many check-in desks (for BA flights) when they don't bother opening them! Had to wait near enough 30 minutes to check luggage in for it to go in the hold and made me wish I hadn't bothered! Security was very quiet thankfully so that was easy to negotiate. Ordered a burger at the bar post security and it took over 20 minutes for it to arrive - very frustrating when the place was dead and you can see the plane you are about to get on come in to land! Thankfully I did have time to quickly eat it just before heading to the gate.,NA,NA,NA,5,1,3,NA,NA,NA,2,NA,NA,0
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,Iain Williamson,NA,2007-03-24,I've been using Aberdeen airport infrequently over the last ten years. The staff remain the friendliest and most polite I've seen in any airport and there is something exhilirating and about coming into this Northern city usually in a small aircraft bouncing in through high winds. The small airport usually allows for quick access to bus or taxi. Waiting for a bus can take some time though. The airport retains a nice atmosphere overall and is always clean.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
aberdeen-airport,/airport-reviews/aberdeen-airport,Aberdeen Airport customer review,Rob Wallace,NA,2005-04-23,When will they do something about the taxi rank? Its a little hut that holds about 40 people - often the queue stretches well outside - and at Aberdeen that is not a good idea. They also have sold the concession to one company so that other firms having dropped people off cannot pick up so you are stuck waiting for the chosen people to arrive.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
abidjan-airport,/airport-reviews/abidjan-airport,Abidjan Airport customer review,Anoma Yao,NA,2014-06-30,Small airport but modern and clean facility. No hustlers in the terminal unlike in most African airports. Not much queuing at check-in immigration and security. Air-conditioning functions toilets are clean airbridges and no pax busses but poor amenities: no wifi tiny duty free zone and unattractive lounge.,NA,NA,NA,8,5,5,NA,NA,NA,2,NA,NA,1
abidjan-airport,/airport-reviews/abidjan-airport,Abidjan Airport customer review,Pedro Gil,NA,2006-12-20,I frequently travel through this airport and would note a couple of problems in an otherwise nice facility. First I've arrived on another airline and been unable to get help in the transit lounge from Air I'voire even though they are my next flight. You have to get somebody to take you to the front desk through a little back hallway and tip them. Second if you go through the passport desk they have plain clothed policemen without badges who demand your passport in the luggage area without identifying themselves. The restaurant in the departure area is much nicer than the one outside the ticket area where you check in.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
