airline_name,link,title,author,author_country,date,content,lounge_name,airport,lounge_type,date_visit,type_traveller,overall_rating,comfort_rating,cleanliness_rating,bar_beverages_rating,catering_rating,washrooms_rating,wifi_connectivity_rating,staff_service_rating,recommended
aer-lingus,/lounge-reviews/aer-lingus,Aer Lingus Gold Circle Business Class Lounge - Dublin Airport,Patrick Jordan,Ireland,2011-09-13,The new lounge spans two floors with views of the apron A water feaTUre dominates one wall. There are work stations and complimentary wifi. The range of food on offer during the early morning is sufficient and a bar service is available. This lounge has own showers and washrooms something the former lounge lacked. The lounge is also open to non FFP members for a 25euro fee.,AER LINGUS GOLD CIRCLE BUSINESS CLASS LOUNGE REVIEW,Dublin Airport,Business Class,NA,NA,4,5,5,4,4,4,5,3,0
aer-lingus,/lounge-reviews/aer-lingus,Aer Lingus Gold Circle Business Class Lounge - Dublin Airport,Patrick Jordan,NA,2009-03-18,My first visit to the Gold Circle lounge in many months. I was aware from other reviews of the decrease in size but I didn't expect to see the work stations gone too. The only saving grace is that there is a choice of breads and pastries in the morning.,AER LINGUS GOLD CIRCLE BUSINESS CLASS LOUNGE REVIEW,Dublin Airport,Business Class,NA,NA,2,2,3,3,2,0,0,3,0
aer-lingus,/lounge-reviews/aer-lingus,Aer Lingus Gold Circle Business Class Lounge - London Heathrow Airport,Patrick Jordan,NA,2009-03-18,The range of food and beverages is reasonable. The main attraction of this lounge is that it is beside boarding gates. This evening I noticed the red wine bottle was empty. I asked the attendant to replace it but she wasn't able to open the new bottle. I can understand a bottle of wine being used but to have a staff member unable to open another is beyond belief. What used to be a very good lounge has become almost a joke.,AER LINGUS GOLD CIRCLE BUSINESS CLASS LOUNGE REVIEW,London Heathrow Airport,Business Class,NA,NA,2,2,4,1,3,0,1,3,0
air-canada,/lounge-reviews/air-canada,Air Canada Maple Leaf Business Class Lounge - London Heathrow Airport,Stephen Lloyd,United Kingdom,2015-05-29,Having flow out of T2 twice on Eva Air recently this review covers both visits. Eva use the Air Canada lounge along with a couple of other Star Alliance carriers. It is close (2-3 minutes) to the boarding gates but suffers like some others on T2 in that it's a fair hike from immigration to the gates/lounge. One inside it is very modern and comfortable with a nice bar and service good range of food and good personal space. Travelling on a Wednesday evening there were not many people in the lounge and it felt quite and comfortable. A vast improvement on the old T3 lounge shared with SAS.,AIR CANADA MAPLE LEAF BUSINESS CLASS LOUNGE REVIEW,London Heathrow Airport,Business Class,NA,NA,4,4,5,4,4,4,5,5,1
air-canada,/lounge-reviews/air-canada,Air Canada Maple Leaf Business Class Lounge - Calgary Airport,D Carter,Canada,2015-01-02,"I am always pretty pleased with the Air Canada Lounges (Vancouver is very good and so is Edmonton). Calgary has always been a large and crowded one. They have just done some renovations and while it looks much better (and the staff are invariably courteous and helpful) there is one down-side. There is no longer a self-serve bar. Been through there at least six times in the last month. When the Lounge is not too busy the bar is just fine (they will mix your drink or pour your wine) BUT when the Lounge is busy you end up standing along the bar with people several travellers deep... trying to get the bartender's attention. Once you have it it is very good - not sure if they are trying to control alcohol cost by not letting you ""help yourself"" but it certainly (only when the Lounge is busy as it often is) slows you down. I only had a 35 minute change of planes and could not get anything for the first 15minutes - waited at the bar got my wine drank half and had to leave. Again - it looks great but it is tougher if you are in a hurry. Staff still very courteous.",AIR CANADA MAPLE LEAF BUSINESS CLASS LOUNGE REVIEW,Calgary Airport,Business Class,NA,NA,4,4,4,2,3,4,4,5,1
air-canada,/lounge-reviews/air-canada,Air Canada Maple Leaf Business Class Lounge - Montréal Airport,J Taylor,United States,2014-10-04,BRU-YUL-SFO. We went out of our way to fly Air Canada back home from Europe. Had a 6-hour layover in Montreal which was nice. Easy access to the lounge staff speaks English and French (and possibly some other languages) quite fluently. Food in the lounge was not up to par (about 900 ml of cold pasta salad and some other similarly sized items were available for everybody). I went downstairs to the Burger King. Other than that however the internet is fast and functional there is a television and a wide selection of alcoholic beverages in an open-bar format. Not the best lounge but certainly not the worst.,AIR CANADA MAPLE LEAF BUSINESS CLASS LOUNGE REVIEW,Montréal Airport,Business Class,NA,NA,4,4,4,5,2,3,4,5,1
air-canada,/lounge-reviews/air-canada,Air Canada Business Class Maple Leaf Lounge - Los Angeles Lax Airport,Keith Rogers,Canada,2013-10-06,Wow a bad terminal in a horrible airport with a terrible lounge. Small poor food poor seating tiny and overall as far as international lounges a real disappointment. The Starbucks on main level is much better.,AIR CANADA BUSINESS CLASS MAPLE LEAF LOUNGE REVIEW,Los Angeles Lax Airport,Business Class,NA,NA,2,2,2,2,2,2,2,3,0
air-canada,/lounge-reviews/air-canada,Air Canada Business Class Maple Leaf Lounge - Calgary Airport,J Lynch,Canada,2012-05-21,Way too crowded! The place was packed at 4:30 and stayed that way when we left at 6:00. Two planes including ours had slight delays. The food selection was nice especially the Thai soup. Because it was so busy the cleaning staff had a lot of work and empty dishes sat for 20-30 minutes. There didn't seem to be a place for us to drop off our used plates. Good selection of magazines and newspapers.,AIR CANADA BUSINESS CLASS MAPLE LEAF LOUNGE REVIEW,Calgary Airport,Business Class,NA,NA,4,4,3,4,4,5,4,5,1
air-canada,/lounge-reviews/air-canada,Air Canada Business Class Maple Leaf Lounge - Vancouver Airport,K Chen,Canada,2012-05-21,A very disappointing lounge which I have used several times for the past four years. Nothing much has changed in the period. Granted is a domestic terminal lounge but given the number of people who use it it is far too small. There are many international passengers who connect at YVR but there is not even a shower for people to freshen up after a 10+hr flight! There is no separate area for people who want to take a rest and because of the large number of people present it is very crowded and noisy-- not much different from the terminal building itself. Food is pretty average and always the same salad and soup options (but nothing vegetarian!).,AIR CANADA BUSINESS CLASS MAPLE LEAF LOUNGE REVIEW,Vancouver Airport,Business Class,NA,NA,3,3,3,3,3,3,1,3,0
air-canada,/lounge-reviews/air-canada,Air Canada Maple Leaf Business Class Lounge - Toronto Pearson Airport,A Murray,Canada,2012-03-28,This lounge is big and well designed. Business centre with printing. Great selection of food snacks and drinks. Comfortable leather chair with foot rest in a mood room makes you a little too relaxed! I wish they had dedicated wifi for the lounge rather than using the general airport wifi which is fine but slow. Boarding announcements in a non intrusive way. For me this is the best AC lounge.,AIR CANADA MAPLE LEAF BUSINESS CLASS LOUNGE REVIEW,Toronto Pearson Airport,Business Class,NA,NA,4,5,5,4,4,5,3,4,1
